# Data taken on 2022-08-08_100328
# RF Power Mappings, 20 dBm Attenuation (already taken into account)
# Set Freq/MHz	Meas Freq/MHz	RF Input/dBm	AM Volt/V	RF Output/dBm
55.0	54.97276	0.0	6.0	34.62
55.0	54.97276	0.0	5.75	34.6
55.0	54.97276	0.0	5.5	34.58
55.0	54.97276	0.0	5.25	34.56
55.0	54.97276	0.0	5.0	34.54
55.0	54.97276	0.0	4.75	34.5
55.0	54.97276	0.0	4.5	34.45
55.0	54.97276	0.0	4.25	34.4
55.0	54.97276	0.0	4.0	34.32
55.0	54.97276	0.0	3.75	34.22
55.0	54.97276	0.0	3.5	34.05
55.0	54.97276	0.0	3.25	33.76
55.0	54.97276	0.0	3.0	33.36
55.0	54.97276	0.0	2.75	32.82
55.0	54.97276	0.0	2.5	32.19
55.0	54.97276	0.0	2.25	31.43
55.0	54.97276	0.0	2.0	30.55
55.0	54.97276	0.0	1.75	29.52
55.0	54.97276	0.0	1.5	28.310000000000002
55.0	54.97276	0.0	1.25	26.83
55.0	54.97276	0.0	1.0	25.05
55.0	54.97276	0.0	0.75	22.740000000000002
55.0	54.97276	0.0	0.5	19.48
55.0	54.97276	-0.5	6.0	34.41
55.0	54.97276	-0.5	5.75	34.38
55.0	54.97276	-0.5	5.5	34.36
55.0	54.97276	-0.5	5.25	34.34
55.0	54.97276	-0.5	5.0	34.3
55.0	54.97276	-0.5	4.75	34.28
55.0	54.97276	-0.5	4.5	34.230000000000004
55.0	54.97276	-0.5	4.25	34.17
55.0	54.97276	-0.5	4.0	34.1
55.0	54.97276	-0.5	3.75	34.0
55.0	54.97276	-0.5	3.5	33.83
55.0	54.97276	-0.5	3.25	33.55
55.0	54.97276	-0.5	3.0	33.18
55.0	54.97276	-0.5	2.75	32.66
55.0	54.97276	-0.5	2.5	32.04
55.0	54.97276	-0.5	2.25	31.310000000000002
55.0	54.97276	-0.5	2.0	30.439999999999998
55.0	54.97276	-0.5	1.75	29.43
55.0	54.97276	-0.5	1.5	28.22
55.0	54.97276	-0.5	1.25	26.77
55.0	54.97276	-0.5	1.0	24.95
55.0	54.97276	-0.5	0.75	22.64
55.0	54.97276	-0.5	0.5	19.4
55.0	54.97276	-1.0	6.0	34.17
55.0	54.97276	-1.0	5.75	34.14
55.0	54.97276	-1.0	5.5	34.12
55.0	54.97276	-1.0	5.25	34.08
55.0	54.97276	-1.0	5.0	34.06
55.0	54.97276	-1.0	4.75	34.019999999999996
55.0	54.97276	-1.0	4.5	33.97
55.0	54.97276	-1.0	4.25	33.91
55.0	54.97276	-1.0	4.0	33.83
55.0	54.97276	-1.0	3.75	33.72
55.0	54.97276	-1.0	3.5	33.56
55.0	54.97276	-1.0	3.25	33.31
55.0	54.97276	-1.0	3.0	32.95
55.0	54.97276	-1.0	2.75	32.49
55.0	54.97276	-1.0	2.5	31.880000000000003
55.0	54.97276	-1.0	2.25	31.17
55.0	54.97276	-1.0	2.0	30.32
55.0	54.97276	-1.0	1.75	29.3
55.0	54.97276	-1.0	1.5	28.11
55.0	54.97276	-1.0	1.25	26.65
55.0	54.97276	-1.0	1.0	24.86
55.0	54.97276	-1.0	0.75	22.53
55.0	54.97276	-1.0	0.5	19.3
55.0	54.97276	-1.5	6.0	33.87
55.0	54.97276	-1.5	5.75	33.84
55.0	54.97276	-1.5	5.5	33.82
55.0	54.97276	-1.5	5.25	33.78
55.0	54.97276	-1.5	5.0	33.75
55.0	54.97276	-1.5	4.75	33.7
55.0	54.97276	-1.5	4.5	33.65
55.0	54.97276	-1.5	4.25	33.58
55.0	54.97276	-1.5	4.0	33.49
55.0	54.97276	-1.5	3.75	33.38
55.0	54.97276	-1.5	3.5	33.22
55.0	54.97276	-1.5	3.25	33.0
55.0	54.97276	-1.5	3.0	32.69
55.0	54.97276	-1.5	2.75	32.26
55.0	54.97276	-1.5	2.5	31.71
55.0	54.97276	-1.5	2.25	31.009999999999998
55.0	54.97276	-1.5	2.0	30.18
55.0	54.97276	-1.5	1.75	29.2
55.0	54.97276	-1.5	1.5	27.98
55.0	54.97276	-1.5	1.25	26.54
55.0	54.97276	-1.5	1.0	24.740000000000002
55.0	54.97276	-1.5	0.75	22.42
55.0	54.97276	-1.5	0.5	19.18
55.0	54.97276	-2.0	6.0	33.53
55.0	54.97276	-2.0	5.75	33.5
55.0	54.97276	-2.0	5.5	33.47
55.0	54.97276	-2.0	5.25	33.43
55.0	54.97276	-2.0	5.0	33.38
55.0	54.97276	-2.0	4.75	33.34
55.0	54.97276	-2.0	4.5	33.28
55.0	54.97276	-2.0	4.25	33.2
55.0	54.97276	-2.0	4.0	33.12
55.0	54.97276	-2.0	3.75	33.0
55.0	54.97276	-2.0	3.5	32.85
55.0	54.97276	-2.0	3.25	32.66
55.0	54.97276	-2.0	3.0	32.4
55.0	54.97276	-2.0	2.75	32.019999999999996
55.0	54.97276	-2.0	2.5	31.5
55.0	54.97276	-2.0	2.25	30.85
55.0	54.97276	-2.0	2.0	30.03
55.0	54.97276	-2.0	1.75	29.060000000000002
55.0	54.97276	-2.0	1.5	27.88
55.0	54.97276	-2.0	1.25	26.43
55.0	54.97276	-2.0	1.0	24.62
55.0	54.97276	-2.0	0.75	22.3
55.0	54.97276	-2.0	0.5	19.07
55.0	54.97276	-2.5	6.0	33.11
55.0	54.97276	-2.5	5.75	33.09
55.0	54.97276	-2.5	5.5	33.05
55.0	54.97276	-2.5	5.25	33.0
55.0	54.97276	-2.5	5.0	32.96
55.0	54.97276	-2.5	4.75	32.91
55.0	54.97276	-2.5	4.5	32.84
55.0	54.97276	-2.5	4.25	32.78
55.0	54.97276	-2.5	4.0	32.68
55.0	54.97276	-2.5	3.75	32.57
55.0	54.97276	-2.5	3.5	32.44
55.0	54.97276	-2.5	3.25	32.269999999999996
