# Wavelength (nm)	% Reflectance
1200	0.71291
1190	0.6382
1180	0.57525
1170	0.52182
1160	0.4641
1150	0.41925
1140	0.37848
1130	0.35062
1120	0.32801
1110	0.31344
1100	0.28789
1090	0.28372
1080	0.27784
1070	0.27484
1060	0.28389
1050	0.28367
1040	0.29378
1030	0.31116
1020	0.32636
1010	0.33825
1000	0.34551
990	0.36189
980	0.38279
970	0.38278
960	0.38371
950	0.41026
940	0.39718
930	0.39929
920	0.38846
910	0.40208
900	0.39746
890	0.35229
880	0.35343
870	0.33401
860	0.31304
850	0.29133
840	0.26939
830	0.24438
820	0.22231
810	0.21186
800	0.19305
790	0.18589
780	0.18602
770	0.18934
760	0.19726
750	0.21185
740	0.23264
730	0.25664
720	0.27951
710	0.30152
700	0.31913
690	0.33106
680	0.33134
670	0.32347
660	0.30788
650	0.28909
640	0.27606
630	0.28455
620	0.33778
610	0.46337
600	0.7037
590	1.10279
580	1.70849
570	2.56899
560	3.71682
550	5.18277
540	6.91591
530	8.88179
520	10.96669
510	13.02827
500	14.87894
